,model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
189,GBM_grid_1_AutoML_1_20241015_104849_model_729,0.7982873089431863,0.1595607173880687,0.2641189853276807,0.3335118714335069,0.2015440475159657,0.04062000308911783
190,GBM_grid_1_AutoML_1_20241015_104849_model_329,0.7982439451519521,0.15990615783982842,0.2717691286218108,0.3419762690461157,0.20139815942300385,0.04056121861897366
191,GBM_grid_1_AutoML_1_20241015_104849_model_1046,0.7981987348256514,0.15903280490357696,0.26683631346051523,0.3502726915333389,0.20073717290722967,0.04029541258678702
192,GBM_grid_1_AutoML_1_20241015_104849_model_133,0.7981731811629597,0.1600770634808547,0.2604456466602294,0.35834193064176023,0.2017930786015758,0.04072044657150175
193,GBM_grid_1_AutoML_1_20241015_104849_model_296,0.7981464957529694,0.15942823567709888,0.26415897744467604,0.35111935764405955,0.20113154409873532,0.040453898031541535
194,GBM_grid_1_AutoML_1_20241015_104849_model_337,0.7980715026030188,0.15967905117952522,0.2558400945931075,0.33102595870909324,0.2018184606598212,0.0407306910630998
195,GBM_grid_1_AutoML_1_20241015_104849_model_457,0.7979451042994485,0.1601749966256691,0.2526749041554259,0.35368782835563073,0.20164194141093295,0.04065947253597011
196,GBM_grid_1_AutoML_1_20241015_104849_model_552,0.7979399816537806,0.15946625250027366,0.2650880237301028,0.34136703160553244,0.20133179312168475,0.040534490921592864
197,GBM_grid_1_AutoML_1_20241015_104849_model_936,0.7979226480504163,0.1589165559082687,0.2649540943510007,0.33895343157694097,0.20121106345836912,0.040485892058047854
198,GBM_grid_1_AutoML_1_20241015_104849_model_613,0.7978795820874186,0.16191561652872166,0.2746150529037176,0.3610886217700528,0.2021004241705998,0.04084458144993635
199,GBM_grid_1_AutoML_1_20241015_104849_model_379,0.7978474166378765,0.15934319725925386,0.2624065822963917,0.3663417162054301,0.20100695548954936,0.04040379615517768
200,StackedEnsemble_AllModels_1_AutoML_1_20241015_104849,0.7978360395992424,0.157458048729791,0.2767638581475997,0.3541757901383114,0.19916882116015866,0.03966821932232727
201,GBM_grid_1_AutoML_1_20241015_104849_model_603,0.7977562216318604,0.16036764202068765,0.252917310144646,0.33895855422260873,0.2018815280255479,0.04075615135793008
202,GBM_grid_1_AutoML_1_20241015_104849_model_581,0.7977335271202391,0.15958997685693987,0.2630323918271704,0.3635175897356477,0.2015926396062531,0.04063959234341663
203,GBM_grid_1_AutoML_1_20241015_104849_model_652,0.7976506117391978,0.15976614453788587,0.2736501966590743,0.3233518781048594,0.20059646313378132,0.040238941021782514
204,GBM_grid_1_AutoML_1_20241015_104849_model_919,0.7976494204262519,0.15906384294044154,0.2732687691360641,0.3297095579037657,0.2006941309234616,0.04027813418712354
205,GBM_grid_1_AutoML_1_20241015_104849_model_389,0.7976092136143242,0.1590878851453712,0.264478362563558,0.3422034524249175,0.20112338677918573,0.04045061670952994
206,GBM_grid_1_AutoML_1_20241015_104849_model_747,0.7975818134165664,0.15876990402164126,0.2690067233612708,0.3469349900525369,0.2009188379942498,0.040368379460959614
207,GBM_grid_1_AutoML_1_20241015_104849_model_959,0.79756584982309,0.1610290809843722,0.2655979640958452,0.3463542249913631,0.2024017235104911,0.04096645768001728
208,GBM_grid_1_AutoML_1_20241015_104849_model_416,0.7975562597538748,0.15913336191460506,0.26298448846798994,0.3513465410228613,0.20097401482261176,0.04039055463391937
209,GBM_grid_1_AutoML_1_20241015_104849_model_49,0.7974901418853719,0.15919382164587434,0.2645828731576525,0.3478926865298245,0.20080336748144645,0.04032199239188883
